Altium Designer Pick and Place Locations
D:\Harit\Harit\#Projects\PIC0_D4_SD_card\PICOD4_T3_LDO\Project Outputs for PRJ_T3\08_Pick and Place\Pick Place\Pick Place for PIC0_D4_SD_card_T3.csv

========================================================================================================================
File Design Information:

Date:       06-08-20
Time:       15:35
Revision:   e59321952c95fdad803779a8d3878b4e6f4a4bc1
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Value"
"R19","Res1","TopLayer","resc0402","9.2842","12.8339","360","Thick Film Resistor -  10Kohm, 1%, 0402","10k"
"R13","Res1","TopLayer","resc0402","9.2824","13.8387","180","Thick Film Resistor -  10Kohm, 1%, 0402","10k"
"D5","ESD9X5.0ST5G","TopLayer","SOD-923","10.8458","6.9850","90","12.3V Clamp 8.7A (8/20µs) Ipp Tvs Diode Surface Mount SOD-923",""
"D4","ESD9X5.0ST5G","TopLayer","SOD-923","9.1440","6.9850","90","12.3V Clamp 8.7A (8/20µs) Ipp Tvs Diode Surface Mount SOD-923",""
"D3","ESD9X5.0ST5G","TopLayer","SOD-923","13.5890","6.9850","90","12.3V Clamp 8.7A (8/20µs) Ipp Tvs Diode Surface Mount SOD-923",""
"SW1","SW PUSHBUTTON","TopLayer","Micro_push","13.1572","14.7066","180","Tactile Switch 3x4x2mm SMD 2-Pin",""
"U7","LDO_5V_3V","TopLayer","SOT25","4.8768","14.1986","90","LDO Voltage Regulators 600mA CMOS LDO 50mA 3.3V 250mV","LDO 5-3.3"
"U6","BQ24040DSQR","TopLayer","10-WFDFN","1.3208","13.8684","90","IC BATT CHG LI-ION 1 CELL 10SON",""
"R18","Res1","TopLayer","resc0402","1.5494","16.0782","180","Thick Film Resistor -  10Kohm, 1%, 0402","10k"
"R17","Res1","TopLayer","resc0402","2.1082","11.6332","180","Thick Film Resistor -  2Kohm, 1%, 0402","2k"
"R16","Res1","TopLayer","resc0402","2.1082","10.6172","360","Thick Film Resistor -  1Kohm, 1%, 0402","1k"
